+5:26	Full time	
+4:37	Booking	
+3:24	Substitution	
87:18	Substitution	
84:53	Goal scored	
78:27	Booking	
66:06	Dismissal	
64:57	Booking	
60:59	Goal scored	
60:13	Booking	
59:17	Booking	
45:01	Substitution	
+4:34	Half time	
+3:37	Booking	
29:51	Booking	
29:30	Booking	
28:08	Substitution	
21:48	Goal scored	
21:46	Penalty	
20:52	Booking	
16:49	Substitution	
5:14	Goal scored	
