+4:45	Full time	
82:02	Substitution	
80:35	Dismissal	
77:21	Booking	
76:19	Substitution	
74:56	Booking	
69:27	Substitution	
68:58	Substitution	
64:34	Goal scored	
63:41	Booking	
62:12	Substitution	
56:47	Booking	
50:35	Booking	
45:01	Substitution	
+2:30	Half time	
+1:28	Booking	
42:37	Booking	
18:49	Goal scored	
