+7:05	Full time	
84:09	Goal scored	
82:01	Goal scored	
80:48	Dismissal	
79:30	Substitution	
75:42	Goal scored	
71:36	Substitution	
67:16	Booking	
62:20	Substitution	
61:45	Goal scored	
60:33	Booking	
51:22	Substitution	
45:01	Substitution	
45:01	Substitution	
+1:24	Half time	
44:31	Booking	
36:56	Booking	
30:55	Goal scored	
